시도,시군구,업태,주메뉴,업소명,주소,전화번호 
경남,창원시,한식,"낙지전골, 낙지복음",낙지천하,의창구 북면 신촌 본포로32,055-255-0885
경남,창원시,한식,감자탕,통뼈감자탕북면감계점,의창구 북면 감계로110번길58,055-231-0188
경남,창원시,한식,"추어탕,다슬기탕",가마솥추어탕,의창구 북면 천주로 1019-22 (1층),055-298-3555
경남,창원시,한식,전골류,가야골뚝배기,"의창구 의창대로54번길 5-13 (팔용동,코코빌딩1층101호)",055-255-3777
경남,창원시,한식,"어탕국수,메기매운탕",경호강메기탕,의창구 창이대로85번길 5 (명서동),055-283-7669
경남,창원시,한식,오리불고기정식,솔밭목장,"의창구 창원대로397번길 8-9 (팔용동,한미코보스텔2층205호)",055-277-0431
경남,창원시,중식,중화요리,국일성,"의창구 의안로31번길 26 (중동,1층)",055-255-3588
경남,창원시,중식,중화요리,금화,의창구 의창대로 450,055-273-1864
경남,창원시,한식,대게,기장대게,"의창구 원이대로579번길 24 (용호동,101호)",055-264-3300
경남,창원시,일식,"초밥,생선회",남해일식,의창구 상남로 224-1 (신월동),055-285-8489
경남,창원시,한식,복요리,남송생복어요리,"의창구 용지로153번길 4-15 (용호동,태화빌딩 2층)",055-285-5833
경남,창원시,기타,"파스타, 스테리크",다이닝팩토리,"의창구 원이대로579번길 10 (용호동,2층1호)",055-287-3147
경남,창원시,한식,찌게류,놀부부대찌개도계점,의창구 도계로 67 청학상가빌라 105-106호(도계동),055-277-4936
경남,창원시,한식,갈비살,대가집숯불갈비,"의창구 금강로355번길 8 (소계동,29)",055-293-4946
경남,창원시,한식,생선회,동승회센타,"의창구 봉곡로111번길 8 (봉곡동,동승상가지하1층)",055-265-1109
경남,창원시,한식,해물탕,동해해물탕,"의창구 의안로31번길 6 (중동,1층)",055-298-9904
경남,창원시,한식,흑염소구이,송림정흑염소구이,의창구 용지로169번길 11-15 (용호동),055-264-1376
경남,창원시,한식,생선회,명성식당,"의창구 우곡로217번길 24 (명서동,2층201호)",055-277-2251
경남,창원시,한식,"갈비,삼겹살",목장원명가,의창구 팔용로 494-20 (서상동),055-298-2643
경남,창원시,한식,갈비류,목장원무꼬잽비,의창구 팔용로 494-37 (서상동),055-256-6205
경남,창원시,한식,낙지,무안세발낙지,의창구 창이대로 89번길 5 (명서동),055-277-8473
경남,창원시,한식,모듬회,무진장횟집2호,"의창구 평산로 96 (팔용동,웰빙프라자 2층 214호)",055-253-3369
경남,창원시,중식,자장면,박영수손짜장,의창구 원이대로 56번길 2-75 (중동),070-7367-5516
경남,창원시,한식,삼계탕,백제계삼탕,"의창구 원이대로579번길 26 (용호동,1층)",055-261-1250
경남,창원시,한식,갈비류,봉강그린가든,의창구 동읍 동읍로 1145,055-298-2557
경남,창원시,한식,생등심,봉림정,"의창구 창원대로363번길 22-17 (팔용동,2층)",055-265-9966
경남,창원시,한식,생선회,해금강,"의창구 의창대로54번길 5-12 (팔용동,2층)",055-299-6050
경남,창원시,한식,생선회,삼천포자연산횟집,"의창구 의안로32번길 11(소답동, 상문빌라103호)",055-294-8774
경남,창원시,한식,메기탕,생초메기탕,"의창구 사화로10번길 4 (팔용동,1층)",055-294-5278
경남,창원시,한식,샤브샤브,샤브향 명곡점,"의창구 원이대로285번길 5 (봉곡동,외1필지 2층 202호)",055-265-3400
경남,창원시,한식,한정식,석정한정식,의창구 상남로 262(신월동),055-287-7000
경남,창원시,한식,갈비,설화생고기,"의창구 사림로130번길 10-12, 2층 201호 (사림동)",055-282-9404
경남,창원시,한식,생선회,성수횟집,"의창구 원이대로285번길 17 (봉곡동,1층 4호)",055-238-4140
경남,창원시,한식,"백숙,건강탕",성심농장가든,의창구 북면 온천로 775-18,055-298-4342
경남,창원시,한식,"양고기, 양꼬치",생포갈비,의창구 원이대로279번길 18 (봉곡동),055-273-9289
경남,창원시,한식,소숯불갈비,소반,"의창구 의창대로70번길 1 (팔용동,외1필지 소반빌딩 2층)",055-297-3700
경남,창원시,한식,돼지고기,수제갈비 창원중동점,"의창구 평산로185번길 48, 1,2층 (중동)",055-253-9939
경남,창원시,한식,한정식,안동명가식당,"의창구 금강로379번길 5 (소계동,1층)",055-294-1255
경남,창원시,한식,모듬회,어시장횟집,"의창구 팔용로 448, 1층 (팔용동,극동아파트상가 지하1층 1-1~1-10호)",055-297-8311
경남,창원시,한식,갈비,왕대감왕참숯갈비,"의창구 지귀로12번길 11 (봉곡동,2층 201. 202호)",055-238-9289
